lat,lon
-12.063723,-77.126575
-12.06398,-77.125836
-12.064099,-77.125492
-12.064252,-77.125066
-12.049007,-77.105733
-12.049043,-77.106085
-12.049061,-77.106275
-12.049079,-77.106492
-12.049091,-77.106646
-12.049222,-77.108247
-12.049339,-77.109248
-12.049358,-77.109669
-12.051236,-77.129913
-12.050976,-77.126714
-12.050984,-77.126559
-12.060067,-77.137032
-12.060265,-77.138439
-12.060422,-77.139506
-12.06045,-77.139702
-12.060709,-77.141287
-12.062748,-77.129223
-12.063066,-77.128345
-12.049717,-77.112168
-12.04943,-77.109242
-12.061152,-77.134045
-12.061498,-77.135407
-12.061848,-77.136765
-12.069284,-77.129651
-12.068972,-77.130516
-12.068658,-77.131403
-12.068334,-77.132335
-12.070149,-77.12998
-12.070452,-77.129128
-12.070764,-77.128234
-12.071134,-77.127222
-12.071446,-77.126343
-12.059857,-77.135631
-12.060067,-77.137032
-12.060265,-77.138439
-12.060422,-77.139506
-12.06045,-77.139702
-12.060709,-77.141287
-12.060951,-77.142932
-12.053266,-77.126293
-12.054519,-77.128642
-12.050726,-77.123957
-12.050719,-77.123842
-12.050707,-77.12368
-12.050689,-77.123468
-12.050439,-77.120529
-12.050426,-77.120379
-12.050377,-77.11964
-12.050353,-77.119402
-12.058578,-77.144735
-12.059115,-77.14499
-12.059711,-77.145276
-12.059968,-77.145462
-12.060163,-77.145608
-12.060383,-77.145846
-12.060067,-77.137032
-12.061203,-77.136857
-12.05806,-77.144938
-12.061303,-77.134025
-12.061152,-77.134045
-12.06081,-77.134083
-12.053266,-77.126293
-12.063016,-77.141204
-12.061861,-77.141249
-12.066416,-77.125027
-12.066316,-77.124474
-12.066229,-77.123985
-12.06616,-77.123591
-12.066105,-77.123272
-12.066042,-77.12293
-12.065928,-77.12235
-12.065724,-77.121689
-12.066008,-77.1232
-12.066148,-77.124003
-12.066238,-77.124493
-12.066338,-77.125043
-12.064006,-77.151911
-12.064058,-77.151988
-12.064283,-77.152596
-12.064431,-77.152987
-12.064836,-77.153998
-12.065472,-77.155221
-12.066045,-77.156074
-12.075678,-77.114826
-12.073537,-77.120724
-12.073272,-77.121444
-12.072939,-77.122314
-12.072607,-77.123198
-12.049717,-77.112168
-12.04943,-77.109242
-12.065553,-77.121296
-12.065503,-77.121541
-12.065426,-77.121776
-12.065262,-77.122203
-12.064823,-77.12333
-12.064679,-77.123704
-12.06465,-77.123783
-12.065553,-77.121296
-12.065503,-77.121541
-12.065426,-77.121776
-12.065262,-77.122203
-12.064823,-77.12333
-12.064679,-77.123704
-12.06465,-77.123783
-12.058606,-77.146381
-12.05824,-77.145767
-12.057802,-77.145227
-12.057149,-77.144682
-12.055963,-77.1438
-12.055559,-77.143487
-12.06522,-77.134761
-12.066256,-77.134586
-12.049043,-77.106085
-12.049061,-77.106275
-12.049079,-77.106492
-12.049091,-77.106646
-12.049222,-77.108247
-12.049339,-77.109248
-12.049358,-77.109669
-12.066416,-77.125027
-12.066316,-77.124474
-12.066229,-77.123985
-12.06616,-77.123591
-12.066105,-77.123272
-12.066042,-77.12293
-12.065928,-77.12235
-12.05131,-77.140763
-12.051401,-77.140861
-12.05202,-77.14129
-12.052815,-77.141797
-12.054251,-77.142762
-12.055494,-77.14357
-12.060067,-77.137032
-12.061203,-77.136857
-12.06578,-77.139106
-12.065633,-77.137894
-12.06542,-77.136202
-12.06045,-77.139702
-12.060709,-77.141287
-12.060951,-77.142932
-12.060972,-77.143091
-12.061111,-77.14396
-12.061179,-77.144405
-12.061207,-77.14457
-12.057876,-77.142772
-12.058178,-77.142814
-12.059247,-77.142977
-12.073537,-77.120724
-12.075678,-77.114826
-12.076072,-77.113777
-12.061848,-77.136765
-12.061976,-77.136745
-12.062361,-77.136674
-12.063016,-77.141204
-12.061861,-77.141249
-12.058606,-77.146381
-12.05824,-77.145767
-12.057802,-77.145227
-12.057149,-77.144682
-12.055963,-77.1438
-12.055559,-77.143487
-12.051242,-77.140552
-12.050382,-77.139984
-12.050101,-77.13977
-12.049823,-77.139539
-12.049624,-77.139346
-12.049439,-77.139126
-12.04906,-77.138552
-12.048873,-77.138174
-12.048497,-77.137187
-12.048275,-77.136537
